id,user,created_at,place,text
863409599667253248,2017-05-13 15:04:24,b'Meuni rariweuh kieu nu ngahurungkeun lilin di gedung sate. Manawi terang aya naon ?  :))'
854022821063778305,2017-04-17 17:24:42,b'Nyeredet kanu hate mun inget dosa nu baheula nu di lakonan ku simkuring. Hampura gusti'
848229100573425664,2017-04-01 17:42:31,"b'Anaking , sing soleh sing gede milik sing bisa mulang tarima kanu jadi kolot.'"
845669232004104194,2017-03-25 16:10:31,b'Sono ka anjeuna teu kiat hoyong tepang'
814434533948784640,2016-12-29 11:34:59,b'Nepi ayeuna akang bingung keneh mun aya nu nanya tujuan hirup naon ?'
745146981991886848,2016-06-21 06:50:59,"b'Lalaki mah nu di cepeng omongan, mun awewe jaga hate jeung kahormatan na.'"
740896869925019649,2016-06-09 13:22:33,b'Lamun boga kahayang tapi embung ikhtiar geus we lapur'
740896536775688196,2016-06-09 13:21:14,"b'RT @sundapedia: Jauh jauh panjang gagang ==&gt; hanas jauh jauh oge dijugjug, ngan hanjakal ku teu hasil. #paribasa'"
740896056888557568,2016-06-09 13:19:19,"b'Hapunteun kasalarea akang nmbe apdet deui, nembe beres tapa :))'"
617789564959076353,2015-07-05 20:18:04,b'Wilujeung tuang sahur'
616942333355950080,2015-07-03 12:11:29,"b'Taat sumembah kanu janten rama, sumujud tumut kanu janten ibu'"
616726426591473669,2015-07-02 21:53:32,"b'Wilujeung saum, wilujeung #ReboNyunda'"
615122156276482048,2015-06-28 11:38:45,b'Hal nu loba di lakukeun ku jelema nyaeta *ngalamun beunghar*.'
615121658064404480,2015-06-28 11:36:46,"b'Mun batur bisa meunangkeun nu geulis atawa nu kasep, maenya urang teu bisa #eh'"
615121318111907840,2015-06-28 11:35:25,"b'Aya kecap *iraha urang siga batur* bisa , mun urang aya kadaek nyaeta ikhtiar.'"
615121014230351873,2015-06-28 11:34:12,"b'Dina pikiran jelema pasti aya rasa sirik ka batur, jieun hal eta  keur motivasi keur urang meh sarua jeung batur malahan bisa lewih.'"
614808214538858496,2015-06-27 14:51:15,"b'Mantan teh ibarat permen karet lamun geus pahit pasti di picen terus di tincak-tincak,tapi keneh nempel. #eh'"
613543531819339776,2015-06-24 03:05:51,"b'hayang ulin ka gunung gededi gunung aya buhaya, urang sunda sing harade sing nyaah kana budaya.'"
611063365406883840,2015-06-17 06:50:33,"b'Bilih aya tutur saur teu kaukur,bilih janteun renghat kana manah,simkuring neda di hapunteun  kalepatan kasadaya wargi wilujeung sasih shaum'"
608521862440587264,2015-06-10 06:31:32,"b'RT @ajengputri28: Jadi jelema mah tong asa pang aingna. Can dumuk si aing ge jiga asa salira. #ReboNyunda""'"
